,cell type 1,cell type 2,cell type 3,cell type 4
1,1,0,0,0
2,0,1,0,0
3,0,0,1,0
4,1,0,0,0
5,0,0,1,0
6,0,1,0,0
7,1,0,0,0
8,1,0,0,0
9,0,0,0,1
10,0,1,0,0
11,0,0,0,1
12,0,0,0,1
13,0,0,0,1
14,0,0,0,1
15,0,0,0,1
16,0,1,0,0
17,1,0,0,0
18,0,0,1,0
19,0,0,0,1
20,1,0,0,0
21,1,0,0,0
22,0,0,0,1
23,0,0,0,1
24,0,0,0,1
25,0,0,0,1
26,0,0,0,1
27,0,0,1,0
28,0,0,0,1
29,0,0,1,0
30,0,0,0,1
31,0,1,0,0
32,0,0,1,0
33,1,0,0,0
34,0,0,0,1
35,0,0,0,1
36,0,1,0,0
37,1,0,0,0
38,1,0,0,0
39,0,0,1,0
40,0,0,0,1
41,1,0,0,0
42,0,0,1,0
43,1,0,0,0
44,0,0,0,1
45,1,0,0,0
46,0,0,0,1
47,0,0,0,1
48,0,0,0,1
49,0,0,0,1
50,0,1,0,0
51,1,0,0,0
52,0,1,0,0
53,0,0,1,0
54,0,0,0,1
55,0,0,0,1
56,0,1,0,0
57,0,0,0,1
58,0,0,0,1
59,1,0,0,0
60,0,1,0,0
61,0,0,1,0
62,0,1,0,0
63,0,0,1,0
64,1,0,0,0
65,0,0,0,1
66,0,1,0,0
67,1,0,0,0
68,0,1,0,0
69,0,0,0,1
70,0,1,0,0
71,1,0,0,0
72,1,0,0,0
73,0,0,0,1
74,0,0,1,0
75,0,1,0,0
76,0,1,0,0
77,0,0,0,1
78,0,0,1,0
79,0,0,0,1
80,0,1,0,0
81,0,1,0,0
82,0,1,0,0
83,0,0,0,1
84,1,0,0,0
85,1,0,0,0
86,0,0,0,1
87,0,0,1,0
88,0,1,0,0
89,1,0,0,0
90,1,0,0,0
91,0,0,1,0
92,0,0,0,1
93,0,0,0,1
94,0,0,0,1
95,0,0,0,1
96,0,0,0,1
97,0,0,1,0
98,1,0,0,0
99,0,0,1,0
100,0,0,0,1
101,1,0,0,0
102,1,0,0,0
103,0,1,0,0
104,1,0,0,0
105,0,0,0,1
106,0,1,0,0
107,0,0,0,1
108,0,0,1,0
109,0,0,1,0
110,0,1,0,0
111,0,0,0,1
112,0,0,1,0
113,0,0,0,1
114,1,0,0,0
115,0,1,0,0
116,0,1,0,0
117,0,0,1,0
118,1,0,0,0
119,1,0,0,0
120,1,0,0,0
121,0,0,0,1
122,0,0,0,1
123,0,1,0,0
124,0,0,0,1
125,0,0,0,1
126,1,0,0,0
127,0,1,0,0
128,0,0,1,0
129,0,0,1,0
130,1,0,0,0
131,0,0,0,1
132,0,0,0,1
133,0,1,0,0
134,0,0,0,1
135,0,0,0,1
136,0,1,0,0
137,0,0,0,1
138,1,0,0,0
139,0,1,0,0
140,1,0,0,0
141,0,0,1,0
142,0,0,0,1
143,1,0,0,0
144,0,0,0,1
145,0,1,0,0
146,0,0,0,1
147,0,1,0,0
148,0,0,1,0
149,1,0,0,0
150,0,1,0,0
151,0,0,1,0
152,1,0,0,0
153,1,0,0,0
154,1,0,0,0
155,0,0,1,0
156,1,0,0,0
157,0,1,0,0
158,0,0,1,0
159,0,0,0,1
160,0,0,1,0
161,0,0,0,1
162,0,0,1,0
163,0,0,0,1
164,0,0,0,1
165,0,1,0,0
166,0,0,0,1
167,1,0,0,0
168,0,0,0,1
169,0,0,0,1
170,0,0,0,1
171,0,1,0,0
172,0,1,0,0
173,0,1,0,0
174,1,0,0,0
175,0,0,0,1
176,0,1,0,0
177,0,1,0,0
178,1,0,0,0
179,0,0,1,0
180,0,0,0,1
181,0,0,0,1
182,0,0,0,1
183,0,0,1,0
184,0,0,0,1
185,0,0,0,1
186,0,0,0,1
187,0,1,0,0
188,0,0,0,1
189,0,1,0,0
190,0,1,0,0
191,0,0,0,1
192,0,0,0,1
193,0,1,0,0
194,0,0,0,1
195,0,0,0,1
196,0,1,0,0
197,0,0,1,0
198,0,1,0,0
199,0,0,0,1
200,1,0,0,0
201,1,0,0,0
202,0,0,1,0
203,0,0,1,0
204,0,1,0,0
205,1,0,0,0
206,0,0,0,1
207,1,0,0,0
208,1,0,0,0
209,1,0,0,0
210,0,0,1,0
211,0,0,0,1
212,0,0,0,1
213,0,0,0,1
214,0,0,1,0
215,0,0,1,0
216,0,1,0,0
217,1,0,0,0
218,1,0,0,0
219,0,1,0,0
220,0,0,0,1
221,0,1,0,0
222,0,1,0,0
223,0,1,0,0
224,0,0,0,1
225,0,0,0,1
226,0,0,1,0
227,0,0,0,1
228,0,0,0,1
229,0,0,0,1
230,0,1,0,0
231,0,0,0,1
232,0,1,0,0
233,0,1,0,0
234,0,1,0,0
235,0,0,0,1
236,0,0,0,1
237,0,0,1,0
238,0,1,0,0
239,1,0,0,0
240,0,0,0,1
241,0,0,0,1
242,0,0,0,1
243,0,0,0,1
244,0,0,1,0
245,1,0,0,0
246,0,0,0,1
247,0,0,0,1
248,1,0,0,0
249,1,0,0,0
250,0,0,0,1
251,0,1,0,0
252,0,1,0,0
253,0,0,1,0
254,0,0,0,1
255,0,0,0,1
256,0,1,0,0
257,0,1,0,0
258,0,0,0,1
259,0,0,0,1
260,0,1,0,0
261,1,0,0,0
262,0,1,0,0
263,1,0,0,0
264,0,0,0,1
265,0,1,0,0
266,0,1,0,0
267,0,0,0,1
268,0,0,0,1
269,1,0,0,0
270,0,0,0,1
271,0,0,0,1
272,0,0,0,1
273,0,1,0,0
274,0,0,0,1
275,0,1,0,0
276,1,0,0,0
277,0,0,0,1
278,1,0,0,0
279,0,0,0,1
280,0,0,0,1
281,0,0,1,0
282,0,0,1,0
283,0,0,1,0
284,0,0,1,0
285,0,1,0,0
286,0,0,1,0
287,0,0,0,1
288,0,0,0,1
289,1,0,0,0
290,0,0,0,1
291,0,1,0,0
292,0,0,0,1
293,0,0,1,0
294,0,0,1,0
295,0,0,0,1
296,0,0,0,1
297,0,1,0,0
298,1,0,0,0
299,0,0,1,0
300,0,0,0,1
301,0,0,1,0
302,0,0,0,1
303,0,0,0,1
304,0,0,0,1
305,0,0,0,1
306,0,0,0,1
307,1,0,0,0
308,0,0,1,0
309,0,0,0,1
310,0,0,0,1
311,1,0,0,0
312,0,1,0,0
313,0,0,1,0
314,0,0,0,1
315,0,0,0,1
316,0,0,0,1
317,0,1,0,0
318,1,0,0,0
319,1,0,0,0
320,0,0,0,1
321,0,0,1,0
322,0,0,1,0
323,0,0,0,1
324,0,0,1,0
325,0,0,0,1
326,0,0,0,1
327,0,0,1,0
328,0,0,0,1
329,0,0,1,0
330,0,0,1,0
331,0,0,0,1
332,0,1,0,0
333,0,1,0,0
334,0,0,1,0
335,0,0,0,1
336,0,0,0,1
337,0,0,0,1
338,1,0,0,0
339,1,0,0,0
340,1,0,0,0
341,0,0,0,1
342,0,0,1,0
343,0,0,0,1
344,0,0,1,0
345,0,1,0,0
346,1,0,0,0
347,1,0,0,0
348,0,0,1,0
349,0,1,0,0
350,0,0,1,0
351,0,0,1,0
352,0,0,1,0
353,0,0,0,1
354,0,1,0,0
355,0,0,0,1
356,0,0,0,1
357,0,0,0,1
358,0,1,0,0
359,0,0,1,0
360,0,0,1,0
361,1,0,0,0
362,1,0,0,0
363,0,0,0,1
364,0,0,1,0
365,0,1,0,0
366,0,0,1,0
367,1,0,0,0
368,0,0,0,1
369,0,1,0,0
370,0,0,0,1
371,1,0,0,0
372,0,1,0,0
373,1,0,0,0
374,0,1,0,0
375,0,0,0,1
376,0,0,1,0
377,0,0,0,1
378,0,0,0,1
379,0,0,1,0
380,0,0,0,1
381,0,0,0,1
382,0,1,0,0
383,1,0,0,0
384,0,1,0,0
385,0,0,0,1
386,0,0,0,1
387,0,0,0,1
388,0,1,0,0
389,0,0,1,0
390,0,0,0,1
391,0,0,0,1
392,0,0,0,1
393,0,0,1,0
394,0,0,0,1
395,0,0,0,1
396,0,0,0,1
397,1,0,0,0
398,0,0,1,0
399,0,0,1,0
400,0,1,0,0
401,0,0,1,0
402,0,0,1,0
403,0,0,0,1
404,0,0,0,1
405,0,0,1,0
406,0,1,0,0
407,0,1,0,0
408,0,0,0,1
409,0,0,0,1
410,0,1,0,0
411,0,1,0,0
412,1,0,0,0
413,0,0,1,0
414,0,0,0,1
415,1,0,0,0
416,0,1,0,0
417,0,0,0,1
418,0,1,0,0
419,0,0,0,1
420,1,0,0,0
421,0,0,1,0
422,0,0,0,1
423,0,0,1,0
424,0,0,0,1
425,0,0,1,0
426,0,0,0,1
427,0,1,0,0
428,0,1,0,0
429,0,0,0,1
430,0,1,0,0
431,0,1,0,0
432,1,0,0,0
433,0,0,0,1
434,0,1,0,0
435,0,0,0,1
436,1,0,0,0
437,1,0,0,0
438,1,0,0,0
439,0,1,0,0
440,0,0,1,0
441,0,0,0,1
442,0,0,1,0
443,0,1,0,0
444,0,0,0,1
445,0,0,0,1
446,0,0,0,1
447,1,0,0,0
448,0,0,1,0
449,0,0,0,1
450,0,1,0,0
451,0,1,0,0
452,0,0,0,1
453,0,0,0,1
454,0,0,1,0
455,0,0,0,1
456,1,0,0,0
457,0,0,0,1
458,0,1,0,0
459,0,0,0,1
460,0,0,0,1
461,0,0,1,0
462,0,0,0,1
463,0,1,0,0
464,0,1,0,0
465,1,0,0,0
466,0,0,0,1
467,0,0,1,0
468,0,0,0,1
469,0,1,0,0
470,0,0,0,1
471,0,0,0,1
472,0,0,0,1
473,1,0,0,0
474,0,0,0,1
475,0,0,0,1
476,0,0,1,0
477,1,0,0,0
478,0,0,1,0
479,0,0,0,1
480,0,0,0,1
481,0,0,0,1
482,1,0,0,0
483,0,0,0,1
484,1,0,0,0
485,0,0,0,1
486,0,0,0,1
487,0,0,1,0
488,0,0,0,1
489,0,0,0,1
490,1,0,0,0
491,0,0,0,1
492,0,0,1,0
493,1,0,0,0
494,0,1,0,0
495,0,0,0,1
496,1,0,0,0
497,1,0,0,0
498,0,0,0,1
499,0,0,0,1
500,0,0,1,0
501,1,0,0,0
502,0,0,0,1
503,0,0,1,0
504,0,0,1,0
505,0,0,1,0
506,0,0,0,1
507,0,0,1,0
508,0,0,0,1
509,1,0,0,0
510,1,0,0,0
511,0,0,1,0
512,0,1,0,0
513,0,0,0,1
514,0,0,0,1
515,0,0,1,0
516,0,0,0,1
517,0,0,0,1
518,0,0,0,1
519,0,0,1,0
520,0,0,0,1
521,0,1,0,0
522,0,1,0,0
523,1,0,0,0
524,0,0,1,0
525,0,1,0,0
526,0,0,0,1
527,0,0,0,1
528,0,0,1,0
529,0,1,0,0
530,0,1,0,0
531,0,1,0,0
532,0,0,0,1
533,0,0,0,1
534,1,0,0,0
535,1,0,0,0
536,1,0,0,0
537,1,0,0,0
538,0,0,0,1
539,0,0,0,1
540,0,1,0,0
541,0,1,0,0
542,1,0,0,0
543,1,0,0,0
544,0,0,0,1
545,0,1,0,0
546,0,1,0,0
547,1,0,0,0
548,0,1,0,0
549,0,0,0,1
550,0,1,0,0
551,0,0,0,1
552,0,1,0,0
553,0,0,0,1
554,1,0,0,0
555,0,0,0,1
556,0,0,0,1
557,0,1,0,0
558,0,1,0,0
559,0,1,0,0
560,0,0,0,1
561,0,0,0,1
562,0,0,0,1
563,0,0,0,1
564,0,0,0,1
565,0,0,1,0
566,1,0,0,0
567,0,0,0,1
568,0,0,0,1
569,0,0,1,0
570,0,0,0,1
571,0,0,1,0
572,1,0,0,0
573,0,0,1,0
574,1,0,0,0
575,1,0,0,0
576,0,1,0,0
577,0,0,0,1
578,0,0,0,1
579,1,0,0,0
580,0,1,0,0
581,0,0,1,0
582,0,1,0,0
583,0,0,1,0
584,1,0,0,0
585,1,0,0,0
586,0,0,0,1
587,0,0,1,0
588,1,0,0,0
589,0,0,0,1
590,0,0,1,0
591,0,0,0,1
592,0,0,0,1
593,0,1,0,0
594,0,1,0,0
595,0,0,0,1
596,0,1,0,0
597,1,0,0,0
598,1,0,0,0
599,0,1,0,0
600,0,0,0,1
601,0,1,0,0
602,0,1,0,0
603,0,0,1,0
604,0,0,0,1
605,0,1,0,0
606,0,0,0,1
607,0,1,0,0
608,0,0,1,0
609,0,1,0,0
610,1,0,0,0
611,0,0,0,1
612,1,0,0,0
613,0,1,0,0
614,1,0,0,0
615,0,0,0,1
616,1,0,0,0
617,0,0,0,1
618,0,0,0,1
619,0,1,0,0
620,0,0,0,1
621,0,0,0,1
622,0,0,0,1
623,1,0,0,0
624,0,0,0,1
625,0,0,0,1
626,0,1,0,0
627,0,0,1,0
628,0,0,0,1
629,1,0,0,0
630,0,1,0,0
631,0,0,0,1
632,0,1,0,0
633,0,1,0,0
634,1,0,0,0
635,0,0,0,1
636,1,0,0,0
637,0,0,0,1
638,1,0,0,0
639,0,0,0,1
640,1,0,0,0
641,0,0,0,1
642,1,0,0,0
643,0,0,0,1
644,0,0,1,0
645,0,0,0,1
646,0,0,0,1
647,0,0,0,1
648,0,1,0,0
649,0,0,0,1
650,0,0,0,1
651,0,0,1,0
652,1,0,0,0
653,0,0,0,1
654,1,0,0,0
655,0,0,0,1
656,0,0,0,1
657,0,0,0,1
658,0,1,0,0
659,0,0,1,0
660,0,0,0,1
661,0,1,0,0
662,0,0,0,1
663,0,0,1,0
664,0,1,0,0
665,0,1,0,0
666,0,0,0,1
667,0,1,0,0
668,0,0,0,1
669,0,0,1,0
670,0,0,0,1
671,0,1,0,0
672,1,0,0,0
673,0,1,0,0
674,1,0,0,0
675,0,1,0,0
676,0,1,0,0
677,1,0,0,0
678,1,0,0,0
679,0,0,0,1
680,0,1,0,0
681,0,0,0,1
682,1,0,0,0
683,0,1,0,0
684,0,1,0,0
685,0,0,1,0
686,0,0,0,1
687,0,0,0,1
688,0,0,0,1
689,1,0,0,0
690,0,0,0,1
691,0,1,0,0
692,0,0,1,0
693,0,1,0,0
694,1,0,0,0
695,0,0,0,1
696,0,0,1,0
697,0,0,0,1
698,1,0,0,0
699,0,1,0,0
700,0,0,1,0
701,1,0,0,0
702,0,0,0,1
703,1,0,0,0
704,0,0,0,1
705,0,0,1,0
706,1,0,0,0
707,0,0,0,1
708,0,0,0,1
709,0,0,1,0
710,0,1,0,0
711,1,0,0,0
712,0,0,0,1
713,1,0,0,0
714,0,0,1,0
715,0,0,0,1
716,0,0,0,1
717,0,0,0,1
718,0,0,0,1
719,0,0,0,1
720,0,0,1,0
721,0,0,1,0
722,0,0,1,0
723,0,0,0,1
724,0,1,0,0
725,0,0,0,1
726,0,0,1,0
727,1,0,0,0
728,0,1,0,0
729,0,0,0,1
730,0,0,1,0
731,0,0,0,1
732,1,0,0,0
733,1,0,0,0
734,0,0,0,1
735,0,1,0,0
736,0,0,1,0
737,1,0,0,0
738,0,0,0,1
739,0,1,0,0
740,0,0,0,1
741,0,1,0,0
742,0,0,0,1
743,0,1,0,0
744,1,0,0,0
745,1,0,0,0
746,1,0,0,0
747,1,0,0,0
748,0,0,1,0
749,0,0,0,1
750,0,1,0,0
751,0,0,0,1
752,0,1,0,0
753,0,0,0,1
754,0,1,0,0
755,0,0,0,1
756,0,1,0,0
757,0,0,1,0
758,0,0,1,0
759,0,0,1,0
760,0,0,1,0
761,0,1,0,0
762,0,1,0,0
763,0,0,0,1
764,0,0,0,1
765,0,1,0,0
766,1,0,0,0
767,0,1,0,0
768,1,0,0,0
769,0,0,0,1
770,1,0,0,0
771,1,0,0,0
772,0,0,1,0
773,0,0,0,1
774,0,1,0,0
775,0,0,1,0
776,0,0,0,1
777,0,1,0,0
778,0,0,0,1
779,0,0,1,0
780,1,0,0,0
781,0,1,0,0
782,0,0,0,1
783,1,0,0,0
784,1,0,0,0
785,0,0,0,1
786,0,1,0,0
787,0,0,0,1
788,1,0,0,0
789,0,0,1,0
790,1,0,0,0
791,0,0,0,1
792,0,0,0,1
793,0,0,1,0
794,1,0,0,0
795,0,0,0,1
796,0,1,0,0
797,0,0,0,1
798,0,0,0,1
799,0,0,1,0
800,0,0,0,1
801,0,0,1,0
802,0,1,0,0
803,0,0,0,1
804,1,0,0,0
805,0,0,0,1
806,1,0,0,0
807,0,1,0,0
808,0,0,0,1
809,0,1,0,0
810,0,0,0,1
811,0,0,0,1
812,0,1,0,0
813,1,0,0,0
814,0,0,0,1
815,0,0,0,1
816,0,0,1,0
817,0,0,1,0
818,0,0,1,0
819,0,1,0,0
820,0,1,0,0
821,0,0,0,1
822,0,0,0,1
823,0,0,0,1
824,0,0,0,1
825,0,0,1,0
826,1,0,0,0
827,0,0,0,1
828,0,1,0,0
829,1,0,0,0
830,0,1,0,0
831,0,0,0,1
832,0,1,0,0
833,0,0,1,0
834,0,0,0,1
835,1,0,0,0
836,0,1,0,0
837,0,0,1,0
838,0,0,0,1
839,0,1,0,0
840,1,0,0,0
841,0,1,0,0
842,1,0,0,0
843,0,0,0,1
844,1,0,0,0
845,0,1,0,0
846,0,0,1,0
847,0,0,0,1
848,0,0,1,0
849,0,1,0,0
850,0,1,0,0
851,1,0,0,0
852,0,0,0,1
853,0,0,0,1
854,0,0,0,1
855,1,0,0,0
856,0,1,0,0
857,0,1,0,0
858,1,0,0,0
859,1,0,0,0
860,1,0,0,0
861,0,0,0,1
862,0,0,1,0
863,0,0,0,1
864,1,0,0,0
865,0,1,0,0
866,0,1,0,0
867,0,0,0,1
868,0,1,0,0
869,0,0,0,1
870,0,1,0,0
871,0,0,0,1
872,0,0,1,0
873,1,0,0,0
874,0,1,0,0
875,0,1,0,0
876,0,1,0,0
877,0,0,0,1
878,0,1,0,0
879,0,0,0,1
880,0,0,0,1
881,1,0,0,0
882,0,0,0,1
883,0,0,1,0
884,0,0,0,1
885,0,1,0,0
886,0,0,0,1
887,0,1,0,0
888,0,1,0,0
889,0,0,0,1
890,1,0,0,0
891,0,1,0,0
892,0,0,0,1
893,0,0,1,0
894,1,0,0,0
895,1,0,0,0
896,1,0,0,0
897,0,0,0,1
898,1,0,0,0
899,0,0,0,1
900,1,0,0,0
901,0,1,0,0
902,1,0,0,0
903,0,0,0,1
904,0,0,1,0
905,0,1,0,0
906,1,0,0,0
907,1,0,0,0
908,1,0,0,0
909,0,0,1,0
910,1,0,0,0
911,0,1,0,0
912,0,0,0,1
913,1,0,0,0
914,0,0,1,0
915,1,0,0,0
916,0,0,0,1
917,0,1,0,0
918,0,0,1,0
919,0,0,0,1
920,0,0,0,1
921,0,0,1,0
922,0,0,1,0
923,0,1,0,0
924,0,1,0,0
925,0,1,0,0
926,0,0,0,1
927,0,0,0,1
928,0,0,1,0
929,0,0,0,1
930,0,1,0,0
931,0,0,0,1
932,0,0,0,1
933,0,1,0,0
934,0,0,0,1
935,0,1,0,0
936,0,0,0,1
937,0,0,1,0
938,1,0,0,0
939,1,0,0,0
940,1,0,0,0
941,1,0,0,0
942,0,1,0,0
943,0,0,0,1
944,0,0,1,0
945,0,0,1,0
946,0,0,1,0
947,0,0,1,0
948,0,0,0,1
949,0,0,0,1
950,1,0,0,0
951,1,0,0,0
952,1,0,0,0
953,1,0,0,0
954,0,0,0,1
955,0,1,0,0
956,0,0,0,1
957,1,0,0,0
958,1,0,0,0
959,0,0,1,0
960,0,0,0,1
961,0,1,0,0
962,0,1,0,0
963,0,0,0,1
964,1,0,0,0
965,1,0,0,0
966,0,1,0,0
967,0,1,0,0
968,1,0,0,0
969,1,0,0,0
970,0,0,0,1
971,0,0,0,1
972,0,0,0,1
973,0,0,0,1
974,0,0,0,1
975,0,0,0,1
976,0,0,0,1
977,0,0,0,1
978,0,0,1,0
979,1,0,0,0
980,0,1,0,0
981,1,0,0,0
982,0,1,0,0
983,1,0,0,0
984,0,0,1,0
985,1,0,0,0
986,0,0,0,1
987,0,0,0,1
988,1,0,0,0
989,0,0,1,0
990,0,0,1,0
991,0,0,0,1
992,0,0,0,1
993,1,0,0,0
994,0,1,0,0
995,0,0,0,1
996,0,1,0,0
997,0,1,0,0
998,1,0,0,0
999,0,0,1,0
1000,1,0,0,0
1001,0,0,1,0
1002,0,1,0,0
1003,0,0,0,1
1004,0,0,1,0
1005,1,0,0,0
1006,0,1,0,0
1007,0,1,0,0
1008,0,0,1,0
1009,0,0,1,0
1010,0,0,1,0
1011,0,0,0,1
1012,0,0,1,0
1013,0,1,0,0
1014,1,0,0,0
1015,0,0,0,1
1016,0,1,0,0
1017,1,0,0,0
1018,0,0,1,0
1019,0,1,0,0
1020,0,1,0,0
1021,1,0,0,0
1022,0,0,0,1
1023,0,0,0,1
1024,0,0,0,1
1025,0,0,1,0
1026,0,0,0,1
1027,0,0,1,0
1028,1,0,0,0
1029,0,0,0,1
1030,0,0,1,0
1031,0,0,0,1
1032,0,0,1,0
1033,0,0,0,1
1034,0,0,0,1
1035,0,1,0,0
1036,1,0,0,0
1037,0,0,1,0
1038,0,1,0,0
1039,0,1,0,0
1040,1,0,0,0
1041,0,1,0,0
1042,0,0,0,1
1043,1,0,0,0
1044,0,1,0,0
1045,0,1,0,0
1046,0,0,1,0
1047,0,0,1,0
1048,0,0,0,1
1049,0,0,1,0
1050,0,0,1,0
1051,0,0,0,1
1052,1,0,0,0
1053,0,0,1,0
1054,0,1,0,0
